Tanggal,NO2,NO2_Clean,NO2_Moving_Avg
2025-09-29 00:00:00+00:00,2.9198627544246847e-05,2.9198627544246847e-05,9.395204512785582e-05
2025-10-02 00:00:00+00:00,7.643982280569617e-05,7.643982280569617e-05,6.849195291838387e-05
2025-10-03 00:00:00+00:00,0.000130197720864,0.000130197720864,5.016151700535529e-05
2025-10-04 00:00:00+00:00,3.015259426319972e-05,3.015259426319972e-05,4.993489496231917e-05
2025-10-05 00:00:00+00:00,1.990785312955268e-05,1.990785312955268e-05,4.8830158383277574e-05
2025-10-06 00:00:00+00:00,4.440714246811695e-05,4.440714246811695e-05,5.0809674576144965e-05
2025-10-07 00:00:00+00:00,3.8613386095676105e-05,3.8613386095676105e-05,5.270244959578407e-05
2025-10-08 00:00:00+00:00,0.0001038307600538,0.0001038307600538,6.336418281143451e-05
2025-10-09 00:00:00+00:00,4.643028023565421e-05,4.643028023565421e-05,5.9077105301428524e-05
2025-10-10 00:00:00+00:00,2.600689367682208e-05,2.600689367682208e-05,4.4192701417545966e-05
2025-10-11 00:00:00+00:00,4.237476969137788e-05,4.237476969137788e-05,4.593872647871426e-05
2025-10-12 00:00:00+00:00,1.769331174727995e-05,1.769331174727995e-05,4.562236342410388e-05
2025-10-13 00:00:00+00:00,-1.0082445669468143e-06,-1.0082445669468143e-06,3.9134450990523337e-05
2025-10-14 00:00:00+00:00,3.081906652369071e-05,3.081906652369071e-05,3.802097676595399e-05
2025-10-16 00:00:00+00:00,2.7669767405313905e-05,2.7669767405313905e-05,2.714083495902742e-05
2025-10-17 00:00:00+00:00,1.9128590565742343e-05,1.9128590565742343e-05,2.3240593577611435e-05
2025-10-18 00:00:00+00:00,7.723393688744787e-06,7.723393688744787e-06,2.0628665007886106e-05
2025-10-19 00:00:00+00:00,5.359453280107118e-05,5.359453280107118e-05,2.2231488309270865e-05
2025-10-26 00:00:00+00:00,0.0001374751421584,0.0001374751421584,3.93431783680023e-05
2025-11-07 00:00:00+00:00,5.023576068197144e-05,5.023576068197144e-05,4.6663750546419194e-05
2025-11-20 00:00:00+00:00,7.369881495833397e-05,7.369881495833397e-05,5.278942889422538e-05
2025-11-21 00:00:00+00:00,3.738547093234956e-05,3.738547093234956e-05,5.417738654094475e-05
2025-11-22 00:00:00+00:00,0.0001063599775079,0.0001063599775079,6.663901324696728e-05
2025-11-23 00:00:00+00:00,6.948224836378358e-05,6.948224836378358e-05,7.546170677197282e-05
2025-11-25 00:00:00+00:00,6.0332080465741456e-05,6.0332080465741456e-05,7.642421358121142e-05
2025-11-26 00:00:00+00:00,0.0001164826899184,0.0001164826899184,7.342529183264e-05
2025-12-03 00:00:00+00:00,0.0001227753618877,0.0001227753618877,8.378809200488694e-05
2025-12-05 00:00:00+00:00,5.068264999863459e-05,5.068264999863459e-05,8.05000684392156e-05
2025-12-11 00:00:00+00:00,4.549102595774457e-05,4.549102595774457e-05,8.165800487141489e-05
2025-12-12 00:00:00+00:00,0.0001095536135835,0.0001095536135835,8.21142385965006e-05
2025-12-15 00:00:00+00:00,7.7468486779253e-05,7.7468486779253e-05,8.32551297987105e-05
2025-12-17 00:00:00+00:00,8.628101568319835e-05,8.628101568319835e-05,8.69621205440615e-05
2025-12-22 00:00:00+00:00,4.34528828918701e-05,4.34528828918701e-05,7.652929096884294e-05
2025-12-24 00:00:00+00:00,6.67209314997308e-05,6.67209314997308e-05,6.852151519913305e-05
2025-12-29 00:00:00+00:00,0.0002097940850944,0.0002097940850944,9.125172021281382e-05
